	DCZTrt_A_1	DCZTrt_A_2	DCZTrt_A_3	DCZctrl_A_1	DCZctrl_A_2	DCZctrl_A_3	DCZctrl_A_4	DCZTrt_N_1	DCZTrt_N_2	DCZTrt_N_3	DCZctrl_N_1	DCZctrl_N_2	DCZctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000000197	209.097	314.001	550.545	470	458.961	595.002	242	751	194	484.001	683.001	606.571	242	429	324	573	429.001	112	349
ENSMUSG00000000202	53	1	4	73	65	5	4	0	1	4	0	0	5	58	2	9	2	0	1
ENSMUSG00000000204	89	0	9	0	0	20	35	0	0	0	0	0	7	0	17	2	0	0	0
ENSMUSG00000000214	2	1	0	7	1	0	0	1	0	2	1	0	0	4	0	0	1	1	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0
ENSMUSG00000000223	238	703	614.001	443	430	682	261	997.641	431	556.999	1061.956	976.999	423	271.001	573	806.012	423	203.001	483.837
ENSMUSG00000000244	12.48	8	8	21	16.668	1	2	4	1	1	2	5	2	23.302	0	2	0	0	0
ENSMUSG00000000247	60	55	59	97	70	70	18	63	28	29	28	49.001	51	91	16	60	30	56	30
ENSMUSG00000000248	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	14	5	22.678	56.346	27	13	2	32	16.31	37.044	34.149	31.323	31.255	21.515	22.328	16	8.729	13.422	24.222
ENSMUSG00000000263	429	0	0	6	3	0	1	1163	9	2	5	4	0	1	5	1	0	1	2
ENSMUSG00000000266	71	56	84	122.001	96	118.442	31	193.999	36	94	169	124	53	69	65	115	66	32	67
ENSMUSG00000000275	157	26	19	100.052	135	22	10	2	15	19	4	0	67	121	19	6	2	66	51
ENSMUSG00000000276	113.453	343	368	317	289	413	106	528.002	150	300.227	590.001	476	225	167	211.001	442	286	138	257.573
ENSMUSG00000000278	104	39	76	55	121	44	11	88.006	51	89	70	67	131	65.975	20.907	73	40	64	89
ENSMUSG00000000282	81	40	108	152	78	56	19	82	51	71	54	83	96.295	82	55	42	44	63.106	42
ENSMUSG00000000290	99	24	12	41	40	5	8	0	2	13	1	0	4	19	1	9	1	5	4
ENSMUSG00000000295	15	31	18	22	27	16	6	18	3	17.061	18.442	23	6	21	4	31	6	1	3
ENSMUSG00000000296	3	1	11	4	5	6	10	24	4	11	20	18	2	11	5	14	14	0	15
ENSMUSG00000000301	0	1	0	0	9	0	1	1	1	0	2	4	0	0	0	2	3	0	0
ENSMUSG00000000303	16	2	0	6	26	2	4	2	0	1	0	0	0	35	0	3	0	1	0
ENSMUSG00000000305	34	41	86	75	55.128	60	32	44.999	8	36	56	44.001	28	52	45	56	43	32	40
ENSMUSG00000000308	25	75	167	76	132.001	93	52	197	56.001	109	167.999	169.999	103	47	68	97.999	111	100.999	97.001
ENSMUSG00000000317	8	18	2	26	12	5	1	7	1	8	7	3	11	15	0	9	11	6	3
ENSMUSG00000000318	1	0	0	4	3	0	0	0	0	1	0	0	0	1	0	0	2	0	1
ENSMUSG00000000320	7	3	7	1	1	2	0	1	8	3	4	6	9	2	3	4	0	5	2
ENSMUSG00000000326	59.58	65.1	50	61.967	100.472	30	11	78.486	33	32.943	46.624	37.224	55.09	70.158	45.808	29.918	35	56.36	41
ENSMUSG00000000339	49	7	75	100.001	94	49	15	130	17	49	109	89	59.001	56	26.999	52	41	20	50
ENSMUSG00000000340	84	9	45	72	72	32	10	56	16	21	34	28	28	75	11	33	19	12	16
ENSMUSG00000000346	166	16	66	149	140	30	13	102	30	47	50	68	38	91	10	49	43	30	39
ENSMUSG00000000355	28	73	69.999	37.548	64	47	15	72	10	30.001	52	44	49	48	30	68.001	39	38	37.999
ENSMUSG00000000359	1	0	0	5	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ENSMUSG00000000365	7	7	20	15	12	18	4	16	1	15	14.999	35	7	1	7	14	6	8	11
ENSMUSG00000000374	204	98	220	361.093	508.999	131.001	80	225	168	192.001	182	249.949	241	332.001	116	160.001	140.999	225.001	213
ENSMUSG00000000378	43	17	44	65	50.999	26.999	10	40.077	20	30	36.999	37	28	70	13	21	26	18	19
ENSMUSG00000000381	0	2	2	0	0	5	4	5	2	6	1	4	9	1	3	4	3	19	4
ENSMUSG00000000384	43	63	31	39	60	42	14	36	40	27	28	41	54.999	52.001	11	31.999	22	61	36.999
ENSMUSG00000000385	18	0	1	8	2	0	5	2	8	10	2	0	32	9	10	0	0	19	15
ENSMUSG00000000386	60	2	18	12	9	10.243	3	6	9.268	13.001	1	1	73.431	3.117	13	6.632	0	65.079	89.902
ENSMUSG00000000392	6	75	77.999	18	37	69	35	161	36	85.001	162	126.999	240.001	15	40	86.001	60	273.003	166.999
ENSMUSG00000000394	0	0	1	0	0	0	0	1	0	0	1	2	0	0	1	1	0	3	1
ENSMUSG00000000399	47	20	58	95	114	37	16	116	20	33	69	63	67	75	19	56	46	41	42
ENSMUSG00000000402	21	0	5	18	17	0	1	3	0	4	1	4	0	11	6	6	0	0	0
ENSMUSG00000000409	27	1	2	1	1	3	0	3	0	2	4	3	1	3.025	1	2	2	1	2
ENSMUSG00000000411	0	13	1	3	9	0	0	2	0	3	3	7	9	2	0	4	1	8	6
ENSMUSG00000000416	682.697	2139.032	2596.289	1461.461	1513.559	2064.706	955.453	2782.686	1094.156	2138.451	2706.98	2508.166	1663.696	1187.419	1478.112	2373.988	1511.569	1017.49	1822
ENSMUSG00000000420	259	209.999	299	376	404	243.033	92	351.821	95	217.001	373	297	211.676	317	132	310	145	130	214
ENSMUSG00000000435	0	0	0	0	0	7	0	0	0	2	4	2	4	0	0	0	0	0	3
ENSMUSG00000000439	212.128	150.616	291.722	434.11	282.481	296.563	134.417	360.707	179.692	275.524	334.233	341.291	340.652	251.161	226.71	249.286	141.347	242.379	284.555
ENSMUSG00000000440	3	42	83	27	12	59	23	133.614	20	60.001	98	100.999	25.999	6	62	106.999	57	13	60
ENSMUSG00000000441	219.873	226.384	352.268	363.811	366.457	290.416	89.583	427.276	130.451	298.478	433.788	389.833	216.316	338.84	158.937	370.589	191.594	219.621	293.445
ENSMUSG00000000486	25	8	8	39	14	4	4	14	5.339	17	6	9	27	13	5	14	6	19.207	15
ENSMUSG00000000489	25	17	49	64	42	26	8	16	4	17	15	16	17	9	6	13	16	1	5
ENSMUSG00000000530	24	0	15	41.244	13	6	5.379	2	0	1	2	3	3	29	2	0	4	0	1
ENSMUSG00000000531	14	113	40	42	15	65	27	54	25	23	26	34	34	23	16	50	30	25	17
ENSMUSG00000000532	108	262.54	236	170	260.471	222	91	293	123	206	258	273	296	149.003	173	208	158.581	198	212
ENSMUSG00000000538	753.399	657.644	705.193	1016.589	1318.614	628.221	269.849	858.828	397.75	511.155	588.566	740.018	719.803	976.063	642.033	758.322	439.22	691.333	577.729
ENSMUSG00000000544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	57.076	66	72	51	71	43	16	46	34	38	34	40	64	28	62	44	17	54.435	61
ENSMUSG00000000555	46	31	56	48	34	43	39	36	12	38	31	42	15	20	16	26	16	12	18
ENSMUSG00000000560	221.999	360.658	604	333	334.001	556.999	233	766.298	173	401	512.61	519.33	310	208	403.001	577.999	384.999	218	359
ENSMUSG00000000561	59.612	47.567	128.794	137.653	159.409	74.268	42.495	187.547	57.303	140.481	158.437	168.008	161.138	94.038	33.861	79.942	75.009	159.032	125.558
ENSMUSG00000000562	11	27	3.267	22	21.883	8	1	1	0	4	0	0	4	20.533	0	0	0	5	1
ENSMUSG00000000563	129.413	66	128.718	187.001	291.531	115	26	264.077	27	104	225.386	179	170	172	68	140.967	136.999	117.44	105
ENSMUSG00000000567	154	15	17	163	161	15	1	6	4	9	7	9	4	143.563	1	17	4	2	4
ENSMUSG00000000568	372.782	289.928	608.296	622.989	655.001	384.737	130.976	732.841	289.92	490.616	472.174	525.593	733.446	497.001	181.921	352.999	386.673	617.995	577.445
ENSMUSG00000000579	28.334	39.536	24.85	25.445	69.581	13.689	5	14.1	2.783	19.983	10.611	10.996	13.936	48.501	8.006	5.513	17.649	11.948	22.938
ENSMUSG00000000581	26	38	28	50.001	45	28	8	78	12.005	20	46	46	15	41	6	22	12	16	16
ENSMUSG00000000594	326	16	45	236	251	48	8	49	7	34	33	42	9	371	1	51.019	18	2	17
ENSMUSG00000000600	808.713	838	1797.158	1260.864	1407.457	1284.69	695.999	2315.003	739.999	1627.761	1938.223	1676.067	2447	1123.999	1047.033	1650.765	960	1558	1849.918
ENSMUSG00000000605	200.27	321.721	290.402	362.933	412.33	234.269	99.139	354.774	71.857	181	318.935	346.121	150.463	395.582	139.889	285.359	170.701	77.991	124.891
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000000627	31	88	202	53	81	131	30	178	25	111	190.007	181.001	60	91	81	116	91	24	47
ENSMUSG00000000628	50	1	13	31	73	3	2	0	6	2	1	1	2	13	7	8	1	0	14
ENSMUSG00000000631	739	690.057	707.116	930.001	1176.942	662	266.001	547	655.027	533.076	405.999	553.405	524	855.406	355.002	682.764	369.038	472.001	554.653
ENSMUSG00000000632	179.001	433.025	485	336.001	189	331	141	301	59	218	183.941	201	76	166	160.001	214.328	169	49	98.999
ENSMUSG00000000673	13	1	3	7	7	0	0	3.192	0	5	3	3	2	13	8	1	0	0	1
ENSMUSG00000000682	65	0	2	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	4
ENSMUSG00000000686	11	12	16.16	4	14	3	0	9	0	6	3.035	11	8	9	6	2	6	3	3
ENSMUSG00000000690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	90.993	17.424	7.449	74.422	84.84	17.51	1	9.57	9.696	5.29	13.381	5.59	9.055	89.442	19.468	9.999	1.135	11.755	1.148
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	0	0	0	0	2	0	3	0	0	4	0	0	0	0	1	0
ENSMUSG00000000708	119	33	71	202.001	246	31	13	67.45	14	42	29	43.074	27	171	17	73	23	14	30
ENSMUSG00000000711	101.735	62	109	154	223	53	23	139.839	27	51	93	95	52	147	71	117	84	43	52
ENSMUSG00000000724	13	1	10	7	1	8	5	9	7	7	5	3	5	4	1	10	4	12	5
ENSMUSG00000000730	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000731	7	16	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000732	120.001	37	15	69	57	7	4	3	2	11	0	0	5	61	0	8	2	2	3
ENSMUSG00000000738	57	114	137.001	105	113	112.001	71	176.001	65	119	133.223	161	151.012	104	80.001	140	76.999	89.999	154
ENSMUSG00000000739	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000740	139.492	19.313	69	132.309	202.05	21.515	4	138.019	23.444	36.95	88.954	76.033	38	183.941	22.201	48.393	57.419	9.736	39.892
ENSMUSG00000000743	72	77	65	120	66	59	13	82	15	46	39	65	41	61	30	67	34	27	22
ENSMUSG00000000751	62	25	41	64	77	43	15	62	24	31	39	41	73	91.133	37	29	25	131	88
ENSMUSG00000000753	23	20	15	8	37	7	8	18	7	21	4	4	16	29	13	6	8	16	10
ENSMUSG00000000759	270.001	142.999	340.051	330	395	196	139	350.004	183	335	359	360.999	627.999	266.817	121.999	294	180	383	261.182
ENSMUSG00000000766	9	33	53	25	20.999	52.002	22.999	72	5	52	62.002	42	15	3	33	46.001	27.001	3	30
ENSMUSG00000000776	20	19	44	48	67.999	36	17	48.001	29	54	32	38.999	64.329	41.999	9	38.001	19	61	35
ENSMUSG00000000782	37	31	9	50	17	16	5	19	9	19	16	16	17	17	2	9	5	21	27
ENSMUSG00000000787	564.442	255	428	887	1123	329	136	841.999	202	412	623.999	603.001	439	770.45	136.999	399.001	362	270	419.999
ENSMUSG00000000791	81	0	1	10	46	0	0	1	1	2	0	0	0	9	0	0	1	2	0
ENSMUSG00000000792	7	2	4	6	13	0	5	9	2	9	7	14	20	10	3	10	9	9	9
ENSMUSG00000000794	443.43	120	212	347.876	356	157.039	56	117	12	81	95	72	61	411	122	85	75	12	36
ENSMUSG00000000804	488.999	322	864.001	844	899.994	654.999	300	1288.248	315.286	645.631	1050	796.999	905.306	741.344	391.001	972.339	567.838	792.517	822.614
ENSMUSG00000000805	25	33	86	80.173	57	54	23	166.001	60	98	145	165	61	44	61	83	61	12	68
ENSMUSG00000000811	4	1	2	5	15	4	3	2	0	0	4	6	6	10	3	10	1	1	0
ENSMUSG00000000817	10	0	1	1	1	0	0	1	4	0	2	5	17	0	0	0	4	11	4
ENSMUSG00000000823	359	549.001	538.001	612.211	516.001	474.999	204	534.999	261	414	564	528	384.945	427.999	394.001	563	312.001	224.997	358.244
ENSMUSG00000000826	445	608	560	905	926.002	431	182	952	337	511.999	626.446	621.001	1645	725	248	506.999	439	1592.999	883.001
ENSMUSG00000000827	349	261.999	258.24	320.001	484.483	226.632	85	315.001	107	216.793	238.001	230	280	313.445	125.043	256.447	145	230.999	187
ENSMUSG00000000838	220	146.999	300.293	326.374	460	307.001	105.001	455.415	131	224.335	368.277	376.444	351	286.369	153.999	307.64	202.275	276.001	319
ENSMUSG00000000861	112.999	1158.435	1559.006	556.999	464.001	1388.962	578.614	2092.547	588	1489.805	1730.214	1599.118	861	153.603	985.694	1905.84	908.246	538.001	1199.437
ENSMUSG00000000869	0	2	4	2	0	1	1	2	1	0	3	4	5	1	1	3	0	6	7
ENSMUSG00000000876	31	6	35	31	50	45	21	48	8	13	30	38	9	52	12	37	15	5	27
ENSMUSG00000000881	109	112	219.999	259.001	268.999	174	66.001	325	94	162.999	272.002	277	94	174.999	124	199.001	147.999	47	103
ENSMUSG00000000884	1	1	6	2	13	5	2	6	10	7	2	2	12	7.999	0	0	2	10	11
ENSMUSG00000000889	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3
ENSMUSG00000000901	17.083	9	9	15.157	6.004	0	0	8.166	1	3	4.02	7.047	1	15	1	1	1	1	2
ENSMUSG00000000902	188	176	181.207	300.066	311	159	70	171.343	84	132	200.509	185	91	217.002	105	200.558	123	66	75.074
ENSMUSG00000000903	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0
ENSMUSG00000000915	165.741	94.98	128.381	216.771	313.299	103.843	52.515	139.529	48.509	97.725	133.615	102.501	166.392	382.377	50.333	175.24	67.66	152.323	110.796
ENSMUSG00000000916	32.173	61.56	106.482	117.996	109.286	93.044	11.799	144.472	68.85	66.428	130.128	120.472	91.386	69.076	59.054	56.44	66.571	49.25	49.302
ENSMUSG00000000934	17	13	17	16	14	20	5	18	6	21	23	31	7	13	10	15	18	2	9
ENSMUSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000948	252.671	975.265	1720.792	829.951	577.751	1638.353	577.935	2408.996	864.959	1788.121	2442.614	1844.672	1764.908	300.411	902.518	1968.968	1053.528	1238.165	1983.534
ENSMUSG00000000957	228.001	23	18	92	153	6	6	1	0	6	1	0	3	192	12	19	2	1	3
ENSMUSG00000000958	16.831	0	7.32	9.231	13.187	5.27	0	1.023	1	2.154	4.266	2.057	3.428	7.064	6	3.312	1.025	1.06	4.166
ENSMUSG00000000959	49.169	39	79.679	176.787	199.813	67.73	39	105.977	53	75.846	100.734	92.943	76.572	88.935	33	108.688	54.975	72.94	89.833
ENSMUSG00000000976	186	251	241.001	227	277	187	65	263	193	167	227.117	200	253	193.001	108.372	199	132	215	227
ENSMUSG00000000982	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000983	0	0	0	7	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000001014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001016	192.918	390.548	199.637	278.525	270.501	167.391	73.122	271.627	160.772	192.976	230.188	202.088	299.992	243.846	139.001	189.599	136.042	214.707	270.212
ENSMUSG00000001017	302.259	233	233.884	302.457	468.916	166	84	309.159	69.589	152.831	221	214.774	232.929	383.338	92	128.561	109.001	106.77	129
ENSMUSG00000001018	105.082	60.452	104.364	159.474	232.361	63.608	11.877	89.373	20.228	37.407	57.813	69.913	81.008	158.154	45	77.083	39.958	54.294	59.789
ENSMUSG00000001020	11	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0
ENSMUSG00000001021	5	0	1	2	7	0	1	0	0	0	0	0	3	10.218	2	0	0	2	2
ENSMUSG00000001023	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000001025	8.999	0	3	9	8	0	1	5.999	0	1	2	2	0	8	1	0	4	0	0
ENSMUSG00000001027	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0
ENSMUSG00000001029	0	0	0	4	1	0	0	0	0	0	0	0	1	9	0	0	0	2	0
ENSMUSG00000001034	174	72	52	126.001	124	69	42	85	30	51.001	78	95	36.001	205	43.999	65.999	45.999	17.001	39
ENSMUSG00000001036	803.903	172	328	802	1063	219.001	103	332.001	99	164	207	212.001	124.999	1415.956	118.001	248.772	152	97	133
ENSMUSG00000001039	76	29	43	132	108.706	34	12	35.001	7	25	43	17	37	223	20	19	14	23	17.999
ENSMUSG00000001052	527.001	487.387	742.745	725.825	721.399	617.001	263.001	709	337	537.001	710.001	633.999	535	535	455.999	634.999	315.641	405.999	518.846
ENSMUSG00000001053	3	1	4	5	1	0	1	4	3	10	5	2	0	0	1	5	2	0	2
ENSMUSG00000001054	19	32	35	47	68.001	48.001	9	73.999	30.001	25	46	56	63	32.999	12	40	47	54	34
ENSMUSG00000001056	19	0	6	16	7	1	0	11	5	4	9	16	7	16	1	2	3	9	8
ENSMUSG00000001062	78	302	220	154	182	148.999	75.999	214.001	91	166.001	141	175	93	134	83	162.999	117	30	83
ENSMUSG00000001065	185.666	127.819	121	268	321.982	107.896	24	89.371	61	91	96.689	112.621	130.429	228.043	59.999	93	73	107.701	79.583
ENSMUSG00000001076	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082	11	56	31	15	25	51	17	31	11.999	23	36	25	18.001	23.001	20	12	17	18	22.999
ENSMUSG00000001089	358.629	413	653.206	641.296	748.881	474	154	801.699	569	576	519	582.999	1269.692	509.041	289	648.999	332	1332.001	966.452
ENSMUSG00000001095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001098	88.401	19	98.543	77.499	112.371	67.296	21.398	131.298	52.695	66.038	67	100.52	164.795	56.872	71.628	70.547	71.18	148.815	68.408
ENSMUSG00000001100	102	109	81	125	129.999	85.999	22	130.001	32.999	78	96	83.001	68.999	104.999	53	68	56.999	34	50
ENSMUSG00000001103	1	0	2	2	7	2	0	8	6	7	2	3	1	3	2	4	1	21	4
ENSMUSG00000001105	25	20	64	71	61	30	19	82.001	46	54	84	70.929	66	61	12	51	23	41	36
ENSMUSG00000001119	11	228	177.058	53	48	179	72	245.247	51	129	187.23	225	32	62	163	165	136	14	49
ENSMUSG00000001120	35	30	62	46	53	44	31	52.999	15.001	30	63	49	23	48.16	17	40	33.001	11	25.999
ENSMUSG00000001123	68	1	10	12	10	1	0	2	0	3	0	0	0	13	5	1	0	0	0
ENSMUSG00000001127	423	219	322.363	543.938	573.821	202.001	97.384	372.682	88.416	289.362	283.401	316.001	439.544	456.509	163	239.001	164.355	307.155	212
ENSMUSG00000001128	31	31	61	25	29	43	7	61	36	50.195	28	34	61	27	22	49	25	47	70
ENSMUSG00000001131	1	14	5	1	0	13	3	3	5	6	5	7	11	2	14	3	3	13	11
ENSMUSG00000001134	13.894	17	25.999	18.787	21	23	7	25	12	10	27	13	28	17	1	16	6	25.1	13
ENSMUSG00000001138	109	50	90	168	204	61	39	152	70	105	119.664	89	48	136	54	102	47	17	61
ENSMUSG00000001143	82.001	222	273	165	220	197	97	212	98	191	179	148	98	122	136	173	111	35	96
ENSMUSG00000001150	140.945	139	199	263.984	223.84	222.994	94	324	191.734	213.74	291.999	274.21	381	193.927	125	279	157	300.202	281
ENSMUSG00000001151	339.912	117.001	203.631	386.887	377.999	193.03	62.776	178.96	149.925	183.001	185.776	173.001	244.609	343.926	80	200.964	96.88	179.906	218.544
ENSMUSG00000001155	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000001156	87	56	100	150	104	71	28	148	57	80	87	66	109	143	53	118	86	85.356	96
ENSMUSG00000001157	93	269	324	189	255	255	115.999	395	127	281	356.315	334.604	222	173	208	281	213.001	170	224
ENSMUSG00000001158	16	24	30.109	23	17.999	13	6	36	11	12	19	25.999	34	22	6	52	13	21.83	31.999
ENSMUSG00000001166	3	0	3	8	4	0	0	10	4	5	5	6	6	1	0	0	1	8	13
ENSMUSG00000001168	5	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	2
ENSMUSG00000001173	458.999	328	756.001	821	804.579	693	237	898	345	580	749.703	748.999	444.999	530.999	431.999	750.001	390	225.999	393.001
ENSMUSG00000001175	1537.373	1285.936	2122.684	3434.526	4600.02	1333	397.001	4733.99	473	1580	2600.002	2578.831	915.815	2660	678	2042.964	2013.002	625.736	931.001
ENSMUSG00000001211	377.594	250	342.001	525.619	541.999	230	76	376	156	270.021	304.4	299	194	455.985	158.999	294	188	198.999	246
ENSMUSG00000001225	0	0	0	2	0	0	0	1	8	0	4	0	12	0	7	0	1	11	1
ENSMUSG00000001227	16	54	110	66	86	61	20	76	28	67	70	71	34	42	42	94	46	16	36
ENSMUSG00000001228	15	0	2.742	2	2	5	1	2	2	0	2	0	6	4	4	0	0	3	0
ENSMUSG00000001229	76.001	207	157	168.657	172	135.001	55.999	170	124	110	154	144	302	140.335	113.001	139	75	190	163.001
ENSMUSG00000001240	44	95	11.825	31	14	1	0	5	1	1	6	4	1	30	0	9.739	4	0	3
ENSMUSG00000001247	6	15	9.259	13.099	10.378	2.311	1	2.037	8.268	2.072	2.054	2.051	4.161	16.568	0	9.429	3	1.026	0
ENSMUSG00000001248	276.999	376	437	325.999	307	417.999	135	347.011	219.001	280	240.503	343.996	209.029	292.999	224	230	209	122.001	221
ENSMUSG00000001249	2	24	17	13.999	13	8	11	23	4	27	12	19	29	7	11	17.999	11	21	10
ENSMUSG00000001260	172.392	7	41.999	206.999	213	35	10	17	1	13	17	7	8	253.999	14	30	14	3	19
ENSMUSG00000001270	962.999	369	598	1449.511	1921.001	271.001	120	913.356	180	421.994	525	728	154.992	1516.451	248.999	378	391	67	238
ENSMUSG00000001280	206	189	272	387	422	198	68	267	156	216	186	200.045	541	252	101	197	130	536.001	299
ENSMUSG00000001281	25	2	6	4	8	3	4	2	1	3	4	1	6	12	6	0	2	4	3
ENSMUSG00000001285	52	45.157	64.829	87.704	102.27	55	35	95.689	56	67	89	98.999	80	79	31	64.001	47	73.999	50
