gene_name	gene_biotype
ENSG00000007944	MYLIP	protein_coding
ENSG00000007968	E2F2	protein_coding
ENSG00000008018	PSMB1	protein_coding
ENSG00000008056	SYN1	protein_coding
ENSG00000008083	JARID2	protein_coding
ENSG00000008086	CDKL5	protein_coding
ENSG00000008118	CAMK1G	protein_coding
ENSG00000008128	CDK11A	protein_coding
ENSG00000008130	NADK	protein_coding
ENSG00000008226	DLEC1	protein_coding
ENSG00000008256	CYTH3	protein_coding
ENSG00000008277	ADAM22	protein_coding
ENSG00000008282	SYPL1	protein_coding
ENSG00000008283	CYB561	protein_coding
ENSG00000008294	SPAG9	protein_coding
ENSG00000008300	CELSR3	protein_coding
ENSG00000008311	AASS	protein_coding
ENSG00000008323	PLEKHG6	protein_coding
ENSG00000008324	SS18L2	protein_coding
ENSG00000008382	MPND	protein_coding
ENSG00000008394	MGST1	protein_coding
ENSG00000008405	CRY1	protein_coding
ENSG00000008441	NFIX	protein_coding
ENSG00000008513	ST3GAL1	protein_coding
ENSG00000008516	MMP25	protein_coding
ENSG00000008517	IL32	protein_coding
ENSG00000008710	PKD1	protein_coding
ENSG00000008735	MAPK8IP2	protein_coding
ENSG00000008838	MED24	protein_coding
ENSG00000008853	RHOBTB2	protein_coding
ENSG00000008869	HEATR5B	protein_coding
ENSG00000008952	SEC62	protein_coding
ENSG00000008988	RPS20	protein_coding
ENSG00000009307	CSDE1	protein_coding
ENSG00000009335	UBE3C	protein_coding
ENSG00000009413	REV3L	protein_coding
ENSG00000009694	TENM1	protein_coding
ENSG00000009765	IYD	protein_coding
ENSG00000009780	FAM76A	protein_coding
ENSG00000009790	TRAF3IP3	protein_coding
ENSG00000009830	POMT2	protein_coding
ENSG00000009844	VTA1	protein_coding
ENSG00000009950	MLXIPL	protein_coding
ENSG00000009954	BAZ1B	protein_coding
ENSG00000010017	RANBP9	protein_coding
ENSG00000010030	ETV7	protein_coding
ENSG00000010072	SPRTN	protein_coding
ENSG00000010165	METTL13	protein_coding
ENSG00000010219	DYRK4	protein_coding
ENSG00000010244	ZNF207	protein_coding
ENSG00000010256	UQCRC1	protein_coding
ENSG00000010270	STARD3NL	protein_coding
ENSG00000010278	CD9	protein_coding
ENSG00000010292	NCAPD2	protein_coding
ENSG00000010295	IFFO1	protein_coding
ENSG00000010310	GIPR	protein_coding
ENSG00000010318	PHF7	protein_coding
ENSG00000010319	SEMA3G	protein_coding
ENSG00000010322	NISCH	protein_coding
ENSG00000010327	STAB1	protein_coding
ENSG00000010361	FUZ	protein_coding
ENSG00000010379	SLC6A13	protein_coding
ENSG00000010404	IDS	protein_coding
ENSG00000010539	ZNF200	protein_coding
ENSG00000010610	CD4	protein_coding
ENSG00000010626	LRRC23	protein_coding
ENSG00000010671	BTK	protein_coding
ENSG00000010704	HFE	protein_coding
ENSG00000010803	SCMH1	protein_coding
ENSG00000010810	FYN	protein_coding
ENSG00000010818	HIVEP2	protein_coding
ENSG00000011007	ELOA	protein_coding
ENSG00000011009	LYPLA2	protein_coding
ENSG00000011021	CLCN6	protein_coding
ENSG00000011028	MRC2	protein_coding
ENSG00000011105	TSPAN9	protein_coding
ENSG00000011114	BTBD7	protein_coding
ENSG00000011132	APBA3	protein_coding
ENSG00000011143	MKS1	protein_coding
ENSG00000011198	ABHD5	protein_coding
ENSG00000011201	ANOS1	protein_coding
ENSG00000011243	AKAP8L	protein_coding
ENSG00000011258	MBTD1	protein_coding
ENSG00000011260	UTP18	protein_coding
ENSG00000011275	RNF216	protein_coding
ENSG00000011295	TTC19	protein_coding
ENSG00000011304	PTBP1	protein_coding
ENSG00000011332	DPF1	protein_coding
ENSG00000011347	SYT7	protein_coding
ENSG00000011376	LARS2	protein_coding
ENSG00000011405	PIK3C2A	protein_coding
ENSG00000011422	PLAUR	protein_coding
ENSG00000011426	ANLN	protein_coding
ENSG00000011451	WIZ	protein_coding
ENSG00000011454	RABGAP1	protein_coding
ENSG00000011465	DCN	protein_coding
ENSG00000011478	QPCTL	protein_coding
ENSG00000011485	PPP5C	protein_coding
ENSG00000011523	CEP68	protein_coding
ENSG00000011566	MAP4K3	protein_coding
ENSG00000011590	ZBTB32	protein_coding
ENSG00000011600	TYROBP	protein_coding
ENSG00000011638	TMEM159	protein_coding
ENSG00000012048	BRCA1	protein_coding
ENSG00000012061	ERCC1	protein_coding
ENSG00000012124	CD22	protein_coding
ENSG00000012171	SEMA3B	protein_coding
ENSG00000012174	MBTPS2	protein_coding
ENSG00000012211	PRICKLE3	protein_coding
ENSG00000012223	LTF	protein_coding
ENSG00000012232	EXTL3	protein_coding
ENSG00000012660	ELOVL5	protein_coding
ENSG00000012779	ALOX5	protein_coding
ENSG00000012817	KDM5D	protein_coding
ENSG00000012822	CALCOCO1	protein_coding
ENSG00000012963	UBR7	protein_coding
ENSG00000012983	MAP4K5	protein_coding
ENSG00000013016	EHD3	protein_coding
ENSG00000013275	PSMC4	protein_coding
ENSG00000013288	MAN2B2	protein_coding
ENSG00000013293	SLC7A14	protein_coding
ENSG00000013297	CLDN11	protein_coding
ENSG00000013306	SLC25A39	protein_coding
ENSG00000013364	MVP	protein_coding
ENSG00000013374	NUB1	protein_coding
ENSG00000013375	PGM3	protein_coding
ENSG00000013392	RWDD2A	protein_coding
ENSG00000013441	CLK1	protein_coding
ENSG00000013503	POLR3B	protein_coding
ENSG00000013523	ANGEL1	protein_coding
ENSG00000013561	RNF14	protein_coding
ENSG00000013563	DNASE1L1	protein_coding
ENSG00000013573	DDX11	protein_coding
ENSG00000013583	HEBP1	protein_coding
ENSG00000013588	GPRC5A	protein_coding
ENSG00000013619	MAMLD1	protein_coding
ENSG00000013725	CD6	protein_coding
ENSG00000013810	TACC3	protein_coding
ENSG00000014123	UFL1	protein_coding
ENSG00000014138	POLA2	protein_coding
ENSG00000014164	ZC3H3	protein_coding
ENSG00000014216	CAPN1	protein_coding
ENSG00000014257	ACPP	protein_coding
ENSG00000014641	MDH1	protein_coding
ENSG00000014824	SLC30A9	protein_coding
ENSG00000014914	MTMR11	protein_coding
ENSG00000014919	COX15	protein_coding
ENSG00000015133	CCDC88C	protein_coding
ENSG00000015153	YAF2	protein_coding
ENSG00000015171	ZMYND11	protein_coding
ENSG00000015285	WAS	protein_coding
ENSG00000015475	BID	protein_coding
ENSG00000015479	MATR3	protein_coding
ENSG00000015520	NPC1L1	protein_coding
ENSG00000015532	XYLT2	protein_coding
ENSG00000015568	RGPD5	protein_coding
ENSG00000015676	NUDCD3	protein_coding
ENSG00000016391	CHDH	protein_coding
ENSG00000016402	IL20RA	protein_coding
ENSG00000016864	GLT8D1	protein_coding
ENSG00000017260	ATP2C1	protein_coding
ENSG00000017427	IGF1	protein_coding
ENSG00000017483	SLC38A5	protein_coding
ENSG00000017797	RALBP1	protein_coding
ENSG00000018189	RUFY3	protein_coding
ENSG00000018236	CNTN1	protein_coding
ENSG00000018280	SLC11A1	protein_coding
ENSG00000018408	WWTR1	protein_coding
ENSG00000018510	AGPS	protein_coding
ENSG00000018610	CXorf56	protein_coding
ENSG00000018699	TTC27	protein_coding
ENSG00000018869	ZNF582	protein_coding
ENSG00000019102	VSIG2	protein_coding
ENSG00000019144	PHLDB1	protein_coding
ENSG00000019169	MARCO	protein_coding
ENSG00000019186	CYP24A1	protein_coding
ENSG00000019485	PRDM11	protein_coding
ENSG00000019505	SYT13	protein_coding
ENSG00000019582	CD74	protein_coding
ENSG00000019991	HGF	protein_coding
ENSG00000019995	ZRANB1	protein_coding
ENSG00000020129	NCDN	protein_coding
ENSG00000020181	ADGRA2	protein_coding
ENSG00000020256	ZFP64	protein_coding
ENSG00000020426	MNAT1	protein_coding
ENSG00000020577	SAMD4A	protein_coding
ENSG00000020633	RUNX3	protein_coding
ENSG00000020922	MRE11	protein_coding
ENSG00000021300	PLEKHB1	protein_coding
ENSG00000021355	SERPINB1	protein_coding
ENSG00000021488	SLC7A9	protein_coding
ENSG00000021574	SPAST	protein_coding
ENSG00000021645	NRXN3	protein_coding
ENSG00000021762	OSBPL5	protein_coding
ENSG00000021776	AQR	protein_coding
ENSG00000021826	CPS1	protein_coding
ENSG00000021852	C8B	protein_coding
ENSG00000022267	FHL1	protein_coding
ENSG00000022277	RTF2	protein_coding
ENSG00000022556	NLRP2	protein_coding
ENSG00000022567	SLC45A4	protein_coding
ENSG00000022840	RNF10	protein_coding
ENSG00000022976	ZNF839	protein_coding
ENSG00000023041	ZDHHC6	protein_coding
ENSG00000023171	GRAMD1B	protein_coding
ENSG00000023191	RNH1	protein_coding
ENSG00000023228	NDUFS1	protein_coding
ENSG00000023287	RB1CC1	protein_coding
ENSG00000023318	ERP44	protein_coding
ENSG00000023330	ALAS1	protein_coding
ENSG00000023445	BIRC3	protein_coding
ENSG00000023516	AKAP11	protein_coding
ENSG00000023572	GLRX2	protein_coding
ENSG00000023608	SNAPC1	protein_coding
ENSG00000023697	DERA	protein_coding
ENSG00000023734	STRAP	protein_coding
ENSG00000023839	ABCC2	protein_coding
ENSG00000023892	DEF6	protein_coding
ENSG00000023902	PLEKHO1	protein_coding
ENSG00000023909	GCLM	protein_coding
ENSG00000024048	UBR2	protein_coding
ENSG00000024422	EHD2	protein_coding
ENSG00000024526	DEPDC1	protein_coding
ENSG00000024862	CCDC28A	protein_coding
ENSG00000025039	RRAGD	protein_coding
ENSG00000025156	HSF2	protein_coding
ENSG00000025293	PHF20	protein_coding
ENSG00000025423	HSD17B6	protein_coding
ENSG00000025434	NR1H3	protein_coding
ENSG00000025708	TYMP	protein_coding
ENSG00000025770	NCAPH2	protein_coding
ENSG00000025772	TOMM34	protein_coding
ENSG00000025796	SEC63	protein_coding
ENSG00000025800	KPNA6	protein_coding
ENSG00000026025	VIM	protein_coding
ENSG00000026036	RTEL1-TNFRSF6B	protein_coding
ENSG00000026103	FAS	protein_coding
ENSG00000026297	RNASET2	protein_coding
ENSG00000026508	CD44	protein_coding
ENSG00000026652	AGPAT4	protein_coding
ENSG00000026751	SLAMF7	protein_coding
ENSG00000026950	BTN3A1	protein_coding
ENSG00000027001	MIPEP	protein_coding
ENSG00000027075	PRKCH	protein_coding
ENSG00000027644	INSRR	protein_coding
ENSG00000027697	IFNGR1	protein_coding
ENSG00000027847	B4GALT7	protein_coding
ENSG00000027869	SH2D2A	protein_coding
ENSG00000028116	VRK2	protein_coding
ENSG00000028137	TNFRSF1B	protein_coding
ENSG00000028203	VEZT	protein_coding
ENSG00000028277	POU2F2	protein_coding
ENSG00000028310	BRD9	protein_coding
ENSG00000028528	SNX1	protein_coding
ENSG00000028839	TBPL1	protein_coding
ENSG00000029153	ARNTL2	protein_coding
ENSG00000029363	BCLAF1	protein_coding
ENSG00000029364	SLC39A9	protein_coding
ENSG00000029534	ANK1	protein_coding
ENSG00000029639	TFB1M	protein_coding
ENSG00000029725	RABEP1	protein_coding
ENSG00000029993	HMGB3	protein_coding
ENSG00000030066	NUP160	protein_coding
ENSG00000030110	BAK1	protein_coding
ENSG00000030419	IKZF2	protein_coding
ENSG00000030582	GRN	protein_coding
ENSG00000031003	FAM13B	protein_coding
ENSG00000031081	ARHGAP31	protein_coding
ENSG00000031691	CENPQ	protein_coding
ENSG00000031698	SARS	protein_coding
ENSG00000031823	RANBP3	protein_coding
ENSG00000032219	ARID4A	protein_coding
ENSG00000032389	EIPR1	protein_coding
ENSG00000032444	PNPLA6	protein_coding
ENSG00000032742	IFT88	protein_coding
ENSG00000033011	ALG1	protein_coding
ENSG00000033030	ZCCHC8	protein_coding
ENSG00000033050	ABCF2	protein_coding
ENSG00000033100	CHPF2	protein_coding
ENSG00000033170	FUT8	protein_coding
ENSG00000033178	UBA6	protein_coding
ENSG00000033327	GAB2	protein_coding
ENSG00000033627	ATP6V0A1	protein_coding
ENSG00000033800	PIAS1	protein_coding
ENSG00000033867	SLC4A7	protein_coding
ENSG00000034053	APBA2	protein_coding
ENSG00000034152	MAP2K3	protein_coding
ENSG00000034510	TMSB10	protein_coding
ENSG00000034533	ASTE1	protein_coding
ENSG00000034677	RNF19A	protein_coding
ENSG00000034693	PEX3	protein_coding
ENSG00000034713	GABARAPL2	protein_coding
ENSG00000035115	SH3YL1	protein_coding
ENSG00000035141	FAM136A	protein_coding
ENSG00000035403	VCL	protein_coding
ENSG00000035499	DEPDC1B	protein_coding
ENSG00000035664	DAPK2	protein_coding
ENSG00000035681	NSMAF	protein_coding
ENSG00000035687	ADSS	protein_coding
ENSG00000035720	STAP1	protein_coding
ENSG00000035862	TIMP2	protein_coding
ENSG00000035928	RFC1	protein_coding
ENSG00000036054	TBC1D23	protein_coding
ENSG00000036257	CUL3	protein_coding
ENSG00000036448	MYOM2	protein_coding
ENSG00000036530	CYP46A1	protein_coding
ENSG00000036549	AC118549.1	protein_coding
ENSG00000036672	USP2	protein_coding
ENSG00000036828	CASR	protein_coding
ENSG00000037042	TUBG2	protein_coding
ENSG00000037241	RPL26L1	protein_coding
ENSG00000037280	FLT4	protein_coding
ENSG00000037474	NSUN2	protein_coding
ENSG00000037637	FBXO42	protein_coding
ENSG00000037749	MFAP3	protein_coding
ENSG00000037757	MRI1	protein_coding
ENSG00000037897	METTL1	protein_coding
ENSG00000038002	AGA	protein_coding
ENSG00000038210	PI4K2B	protein_coding
ENSG00000038219	BOD1L1	protein_coding
ENSG00000038274	MAT2B	protein_coding
ENSG00000038358	EDC4	protein_coding
ENSG00000038382	TRIO	protein_coding
ENSG00000038427	VCAN	protein_coding
ENSG00000038532	CLEC16A	protein_coding
ENSG00000038945	MSR1	protein_coding
ENSG00000039068	CDH1	protein_coding
ENSG00000039123	MTREX	protein_coding
ENSG00000039139	DNAH5	protein_coding
ENSG00000039319	ZFYVE16	protein_coding
ENSG00000039523	RIPOR1	protein_coding
ENSG00000039537	C6	protein_coding
ENSG00000039560	RAI14	protein_coding
ENSG00000039650	PNKP	protein_coding
ENSG00000039987	BEST2	protein_coding
ENSG00000040199	PHLPP2	protein_coding
ENSG00000040275	SPDL1	protein_coding
ENSG00000040341	STAU2	protein_coding
ENSG00000040487	PQLC2	protein_coding
ENSG00000040531	CTNS	protein_coding
ENSG00000040608	RTN4R	protein_coding
ENSG00000040633	PHF23	protein_coding
ENSG00000040933	INPP4A	protein_coding
ENSG00000041353	RAB27B	protein_coding
ENSG00000041357	PSMA4	protein_coding
ENSG00000041515	MYO16	protein_coding
ENSG00000041802	LSG1	protein_coding
ENSG00000041880	PARP3	protein_coding
ENSG00000041982	TNC	protein_coding
ENSG00000041988	THAP3	protein_coding
ENSG00000042088	TDP1	protein_coding
ENSG00000042286	AIFM2	protein_coding
ENSG00000042304	C2orf83	protein_coding
ENSG00000042317	SPATA7	protein_coding
ENSG00000042429	MED17	protein_coding
ENSG00000042445	RETSAT	protein_coding
ENSG00000042493	CAPG	protein_coding
ENSG00000042753	AP2S1	protein_coding
ENSG00000042832	TG	protein_coding
ENSG00000042980	ADAM28	protein_coding
ENSG00000043039	BARX2	protein_coding
ENSG00000043093	DCUN1D1	protein_coding
ENSG00000043143	JADE2	protein_coding
ENSG00000043462	LCP2	protein_coding
ENSG00000043514	TRIT1	protein_coding
ENSG00000043591	ADRB1	protein_coding
ENSG00000044090	CUL7	protein_coding
ENSG00000044115	CTNNA1	protein_coding
ENSG00000044446	PHKA2	protein_coding
ENSG00000044459	CNTLN	protein_coding
ENSG00000044574	HSPA5	protein_coding
ENSG00000046604	DSG2	protein_coding
ENSG00000046647	GEMIN8	protein_coding
ENSG00000046651	OFD1	protein_coding
ENSG00000046653	GPM6B	protein_coding
ENSG00000046889	PREX2	protein_coding
ENSG00000047056	WDR37	protein_coding
ENSG00000047188	YTHDC2	protein_coding
ENSG00000047230	CTPS2	protein_coding
ENSG00000047249	ATP6V1H	protein_coding
ENSG00000047315	POLR2B	protein_coding
ENSG00000047346	FAM214A	protein_coding
ENSG00000047365	ARAP2	protein_coding
ENSG00000047410	TPR	protein_coding
ENSG00000047457	CP	protein_coding
ENSG00000047578	KIAA0556	protein_coding
ENSG00000047579	DTNBP1	protein_coding
ENSG00000047597	XK	protein_coding
ENSG00000047621	C12orf4	protein_coding
ENSG00000047634	SCML1	protein_coding
ENSG00000047644	WWC3	protein_coding
ENSG00000047648	ARHGAP6	protein_coding
ENSG00000047662	FAM184B	protein_coding
ENSG00000047849	MAP4	protein_coding
ENSG00000047932	GOPC	protein_coding
ENSG00000047936	ROS1	protein_coding
ENSG00000048028	USP28	protein_coding
ENSG00000048052	HDAC9	protein_coding
ENSG00000048140	TSPAN17	protein_coding
ENSG00000048162	NOP16	protein_coding
ENSG00000048342	CC2D2A	protein_coding
ENSG00000048392	RRM2B	protein_coding
ENSG00000048405	ZNF800	protein_coding
ENSG00000048462	TNFRSF17	protein_coding
ENSG00000048471	SNX29	protein_coding
ENSG00000048540	LMO3	protein_coding
ENSG00000048544	MRPS10	protein_coding
ENSG00000048649	RSF1	protein_coding
ENSG00000048707	VPS13D	protein_coding
ENSG00000048740	CELF2	protein_coding
ENSG00000048828	FAM120A	protein_coding
ENSG00000048991	R3HDM1	protein_coding
ENSG00000049089	COL9A2	protein_coding
ENSG00000049130	KITLG	protein_coding
ENSG00000049167	ERCC8	protein_coding
ENSG00000049192	ADAMTS6	protein_coding
ENSG00000049239	H6PD	protein_coding
ENSG00000049245	VAMP3	protein_coding
ENSG00000049246	PER3	protein_coding
ENSG00000049247	UTS2	protein_coding
ENSG00000049249	TNFRSF9	protein_coding
ENSG00000049323	LTBP1	protein_coding
ENSG00000049449	RCN1	protein_coding
ENSG00000049541	RFC2	protein_coding
ENSG00000049618	ARID1B	protein_coding
ENSG00000049656	CLPTM1L	protein_coding
ENSG00000049759	NEDD4L	protein_coding
ENSG00000049768	FOXP3	protein_coding
ENSG00000049769	PPP1R3F	protein_coding
ENSG00000049860	HEXB	protein_coding
ENSG00000049883	PTCD2	protein_coding
ENSG00000050030	NEXMIF	protein_coding
ENSG00000050130	JKAMP	protein_coding
ENSG00000050165	DKK3	protein_coding
ENSG00000050327	ARHGEF5	protein_coding
ENSG00000050344	NFE2L3	protein_coding
ENSG00000050393	MCUR1	protein_coding
ENSG00000050405	LIMA1	protein_coding
ENSG00000050426	LETMD1	protein_coding
ENSG00000050438	SLC4A8	protein_coding
ENSG00000050555	LAMC3	protein_coding
ENSG00000050628	PTGER3	protein_coding
ENSG00000050730	TNIP3	protein_coding
ENSG00000050748	MAPK9	protein_coding
ENSG00000050820	BCAR1	protein_coding
ENSG00000051009	FAM160A2	protein_coding
ENSG00000051108	HERPUD1	protein_coding
ENSG00000051128	HOMER3	protein_coding
ENSG00000051180	RAD51	protein_coding
ENSG00000051341	POLQ	protein_coding
ENSG00000051382	PIK3CB	protein_coding
ENSG00000051523	CYBA	protein_coding
ENSG00000051596	THOC3	protein_coding
ENSG00000051620	HEBP2	protein_coding
ENSG00000051825	MPHOSPH9	protein_coding
ENSG00000052126	PLEKHA5	protein_coding
ENSG00000052344	PRSS8	protein_coding
ENSG00000052723	SIKE1	protein_coding
ENSG00000052749	RRP12	protein_coding
ENSG00000052795	FNIP2	protein_coding
ENSG00000052802	MSMO1	protein_coding
ENSG00000052841	TTC17	protein_coding
ENSG00000053108	FSTL4	protein_coding
ENSG00000053254	FOXN3	protein_coding
ENSG00000053371	AKR7A2	protein_coding
ENSG00000053372	MRTO4	protein_coding
ENSG00000053501	USE1	protein_coding
ENSG00000053524	MCF2L2	protein_coding
ENSG00000053747	LAMA3	protein_coding
ENSG00000053770	AP5M1	protein_coding
ENSG00000053900	ANAPC4	protein_coding
ENSG00000053918	KCNQ1	protein_coding
ENSG00000054116	TRAPPC3	protein_coding
ENSG00000054118	THRAP3	protein_coding
ENSG00000054148	PHPT1	protein_coding
ENSG00000054179	ENTPD2	protein_coding
ENSG00000054219	LY75	protein_coding
ENSG00000054267	ARID4B	protein_coding
ENSG00000054277	OPN3	protein_coding
ENSG00000054282	SDCCAG8	protein_coding
ENSG00000054392	HHAT	protein_coding
ENSG00000054523	KIF1B	protein_coding
ENSG00000054598	FOXC1	protein_coding
ENSG00000054611	TBC1D22A	protein_coding
ENSG00000054654	SYNE2	protein_coding
ENSG00000054690	PLEKHH1	protein_coding
ENSG00000054793	ATP9A	protein_coding
ENSG00000054938	CHRDL2	protein_coding
ENSG00000054965	FAM168A	protein_coding
ENSG00000054967	RELT	protein_coding
ENSG00000054983	GALC	protein_coding
ENSG00000055044	NOP58	protein_coding
ENSG00000055070	SZRD1	protein_coding
ENSG00000055118	KCNH2	protein_coding
ENSG00000055130	CUL1	protein_coding
ENSG00000055147	FAM114A2	protein_coding
ENSG00000055163	CYFIP2	protein_coding
ENSG00000055208	TAB2	protein_coding
ENSG00000055211	GINM1	protein_coding
ENSG00000055332	EIF2AK2	protein_coding
