	IVMTrt_A_1	IVMTrt_A_2	IVMTrt_A_3	IVMTrt_N_1	IVMTrt_N_2	IVMTrt_N_3	IVMctrl_N_1	IVMctrl_N_2	IVMctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000018554	2	8	0	3	1	0	14	12	2	2	3	12	8	0	7
ENSMUSG00000018559	57	43	8	34	50	10	46	60	31	58.001	13	44	29	42	36
ENSMUSG00000018565	48.966	34	15	37	32	11	33	51	29	27	19	15	17	72	21
ENSMUSG00000018566	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0
ENSMUSG00000018567	107	74	52	46	100	26	36.237	33	26	107	8	24	22	34	20
ENSMUSG00000018569	5	0	0	0	5	4	0	13	1	0	1	0	0	15	1
ENSMUSG00000018570	4	1	0	1	6	3	0	1	3	8	0	1	0	0	0
ENSMUSG00000018572	42	12	10	19	50	52	32	50	33	45	1	8	18	21	20
ENSMUSG00000018574	71.294	24.486	24.021	47.476	71.661	159.36	59.919	87.409	36.265	84.258	20.769	38.554	29.129	37.833	48.204
ENSMUSG00000018581	6.201	0	1	4	2.036	7	6.415	9	1	13.352	3.008	0	5	5.191	1.077
ENSMUSG00000018583	208	142.108	80	132	224	105	141	171	140	106	67	119	58	155.708	129
ENSMUSG00000018585	5	0	0	4	7	0	14	1	3	11	0	5	1	2	0
ENSMUSG00000018589	18	21	0	13	1	0	27	8	33	8	4	9	13	0	4
ENSMUSG00000018593	314	113	162.766	8	26	23	3	24	3	262	65	59	3	2	30
ENSMUSG00000018595	13	4	1	0	11	0	8	3	9	7	1	11	5	2	7
ENSMUSG00000018599	29.001	14	12	23	26	17	15	20	17	22	0	16	8	22	7
ENSMUSG00000018604	16	0	24	0	0	0	0	0	0	7	0	0	1	0	0
ENSMUSG00000018620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018634	0	59	38	46	43	33	46	25	41	4.185	39	39	29	8	25
ENSMUSG00000018648	38	48	25	70	78.796	7	82	50	73	25	30	46	47	80	53.376
ENSMUSG00000018651	137	157	113.999	144	104	42	207	135	158	125	125.001	155	84	41	76
ENSMUSG00000018654	590.132	68	42	1	23	7	3	17	1	60	40	14	4	0	12
ENSMUSG00000018656	16	0	1	2	3	0	0	2	1	0	2	5	2	3	2
ENSMUSG00000018659	70	33	58	44	33	15	69.815	47.736	30.616	17	6	30.9	21	5	19
ENSMUSG00000018661	139.666	140.562	61.038	82.858	91.249	66.003	104.984	113.641	91.986	97.667	34.584	90.487	94.688	26.967	45.362
ENSMUSG00000018666	145	89	79	78	187.001	50.001	84	105.001	55	95	38	60.001	45	71.999	73
ENSMUSG00000018669	33	9	18	10	7	12	22	17	24.999	24	11	17.001	15.999	1	7
ENSMUSG00000018672	15	0	0	0	2	1	0	0	0	12	0	1	1	0	0
ENSMUSG00000018677	39	21	14	12	40	32	30	37	15	31	8	11	12	29	20
ENSMUSG00000018678	78.657	20	37	16.744	99.975	45.682	24.347	19.291	15.318	53.9	28.639	29.545	16.93	32.788	34.906
ENSMUSG00000018697	284	119.999	270.586	144	135	60	126.965	109.421	114.007	142	58	154	81	41	77
ENSMUSG00000018698	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018707	4725.321	4373.337	3796.778	4262.383	6315.998	4242.292	3537.137	5335.536	3351.75	3257.367	1701.995	3040.439	2395.027	3677.708	3704.696
ENSMUSG00000018727	9	2	3	4	6	2	3	3	4	2	9	8	3	3	1
ENSMUSG00000018733	84	47	26	67	146	93	73.999	94.811	51	50	44	51	41	115	81
ENSMUSG00000018736	147	67	49.001	87	171	140	103	117.129	99	112	41	75	66	101	79
ENSMUSG00000018740	86.526	38.104	18.402	50.701	19	35	44.428	52	27.864	165.274	27	70.664	18.931	7.636	25.592
ENSMUSG00000018750	330	380	286	279	306	272	290	238.001	204	262	150.001	230	135	196	153
ENSMUSG00000018752	14.813	17.535	0	4	0	18	0	5	6	14.069	1	0	5	6.486	6.531
ENSMUSG00000018761	77.72	6	18	23	26	10	24	41	12	50.001	9	8	7	5	8
ENSMUSG00000018765	164	99	131	128	109.999	99.999	118	130.25	105	87	80	105.999	70.998	53	92
ENSMUSG00000018770	174.625	85.999	46	112.001	96.492	58	154	87	137.008	94	34	96.999	80.999	31	84
ENSMUSG00000018774	223	53	39	8	203	161.595	14	89	4	24	16	7	4	107	48
ENSMUSG00000018776	3	2	0	0	9	4	0	0	0	0	0	0	0	3	1
ENSMUSG00000018796	251.916	132	142.342	243	252.145	135.986	260.911	176	176	158	140	222	134.067	58.775	144
ENSMUSG00000018800	378	290	301	493.001	486	257.116	719	429	580.238	279.808	229.204	581	350.001	513.001	643.416
ENSMUSG00000018809	50	32	93	40	62	26	41	29	41	37	37.001	62	21	40	35
ENSMUSG00000018819	87.999	23.001	15	0	21	8	3	3	6	15	3	0	1	1	2
ENSMUSG00000018820	227.999	314.001	266	252	261.003	159	279	336	201.04	136	153	238.999	158.999	123	180.085
ENSMUSG00000018821	24	0	0	8	13	24	13	6	9	22	6	17	8	8	17
ENSMUSG00000018822	1	0	0	0	2	0	1	0	0	2	0	2	0	0	0
ENSMUSG00000018830	10.007	6	0	0	42	52	1	29	1	15	2	4	0	15	20
ENSMUSG00000018841	32.087	10	53	14	91	47	21	41	17	37	9	27	12	20	23
ENSMUSG00000018844	2	5	0	7	1	3	14	16	8	1	11	9	2	3	3
ENSMUSG00000018845	6	0	0	0	0	0	0	2	0	1	0	0	1	0	0
ENSMUSG00000018846	308	187	128.015	239	371	119	369	207	296.705	354	110	215	188.224	199	282
ENSMUSG00000018848	278	159	59	142.999	543	354	131	305.999	126.375	180	60.999	94	76	487	327.999
ENSMUSG00000018849	64	103	78	76	58	50	46	74	55	150	68	80	51	21	17
ENSMUSG00000018858	89.999	94	87	97	83.867	65.103	105.999	107.999	75	57.999	41.999	95.001	48.001	131	99
ENSMUSG00000018861	104	78	54	51	73	49	42.999	56	21	44	41	45	20	10	22
ENSMUSG00000018862	2	1	0	2	2	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000018865	115.263	144.377	56	193	253	95	159	137	139	94	41	122	101	88	100
ENSMUSG00000018868	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000018882	38	6	0	52	29	18	29	27	38	22	7	24	14	18	29
ENSMUSG00000018893	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018899	208.608	25	65	31	20.999	30	10	31	11	39	12	9	14	21	15
ENSMUSG00000018900	48.559	39.941	57.895	34.784	6.644	10	36.145	18.765	32	64.648	8	31.842	30	5	15.468
ENSMUSG00000018906	66	65	118	102	50.999	27	70.999	92	67.001	32	24	57	37.001	6	27
ENSMUSG00000018907	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
ENSMUSG00000018909	540	458.3	603	396.001	372	242	340	378.999	307.509	613.748	167	400	181.999	85	211.006
ENSMUSG00000018914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018916	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000018919	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018920	222.529	6	122	7	37	22	6	20	4	23	8	4	6	1	4
ENSMUSG00000018921	52	19	24	23	123	59	23	30	23	22	15	36	13	19	25
ENSMUSG00000018923	10	2	0	6	23	32	5	8	4	14	0	6	1	1	3
ENSMUSG00000018924	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000018925	14	3	5	3	12	14	3	11.415	0	6	10	19	2	13	4
ENSMUSG00000018927	4	1	2	0	2	1	0	1	0	0	0	0	0	28	11
ENSMUSG00000018930	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018931	55	71	37	46	246	85	43	121	18	102	36	27	28	116	46
ENSMUSG00000018932	90	91	58	50.001	364.22	182	61	203	42	22	14	54.999	26	242	122
ENSMUSG00000018965	487.999	629.393	208	524.946	484	211	499.963	411.999	477.418	317.436	181	264.011	332	266	273.893
ENSMUSG00000018973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018974	149	134	121	115.093	335.999	259	98.064	257	86	79	48	53	72	157.358	141.001
ENSMUSG00000018983	35	13	0	0	3	0	3	1	0	6	0	0	0	0	0
ENSMUSG00000018986	57.136	10	0	0	7	1	1	1	0	0	1	2	1	1	0
ENSMUSG00000018995	162	131.001	112	147	105	52	205.001	90	130.999	96.001	110	167.742	115.951	62	112
ENSMUSG00000018999	308.52	398.468	174	213.797	200.391	130	291.917	203.93	227.917	280.956	165.353	241.003	143.949	26.001	109.892
ENSMUSG00000019027	16	57	60	57	35	26	50	36.335	50	7	57	38.396	32	12	30
ENSMUSG00000019039	94.099	99.857	117.383	98.285	311.771	266.053	132.746	228.071	104.474	73.599	35.737	114.734	74.455	178.496	174.016
ENSMUSG00000019054	67	37	35.355	70	61.001	26	73.001	85.087	57	84	48.999	51	32.999	26	55
ENSMUSG00000019055	262.001	29	36	13	55	29	12	44	10	327.043	15	27	8	4	16
ENSMUSG00000019066	21	47	62	40	19	11	35	25	28	16	23	24	32	7	18
ENSMUSG00000019080	5.596	11	1.695	5.739	11.561	4.608	5.712	8.448	2	4.418	2	11.677	3	11.051	7
ENSMUSG00000019082	100.001	75	96	84	123.999	270	60.001	220	39	29.999	46.001	77	31	62	63
ENSMUSG00000019087	531	270	410.32	377	444	169	324	282.001	225.001	365.544	58.001	203	162.001	112	185
ENSMUSG00000019088	26	3	0	2	2	3	1	2	2	6	0	0	2	4	4
ENSMUSG00000019102	0	0	0	0	4	3	1	0	0	0	0	0	0	0	1
ENSMUSG00000019122	20	1	5	1	19	12	0	4	1	0	3	6	0	27	14
ENSMUSG00000019124	332.458	539.271	233	436	385.408	141	514.336	251.541	487.353	380.046	241.222	412.635	317.622	168.979	243.759
